pair,frequency,course1,course2
"(551, 566)",801,551,566
"(515, 551)",418,515,551
"(489, 551)",312,489,551
"(523, 551)",304,523,551
"(566, 794)",290,566,794
"(489, 515)",289,489,515
"(490, 566)",253,490,566
"(490, 551)",248,490,551
"(570, 752)",247,570,752
"(569, 572)",217,569,572
"(515, 523)",214,515,523
"(553, 745)",212,553,745
"(569, 840)",208,569,840
"(489, 523)",207,489,523
"(514, 551)",200,514,551
"(516, 745)",199,516,745
"(515, 566)",196,515,566
"(489, 566)",192,489,566
"(504, 572)",187,504,572
"(551, 552)",178,551,552
"(572, 840)",178,572,840
"(507, 570)",172,507,570
"(490, 809)",167,490,809
"(489, 490)",152,489,490
"(507, 752)",150,507,752
"(490, 515)",144,490,515
"(523, 552)",144,523,552
"(504, 569)",142,504,569
"(551, 570)",142,551,570
"(514, 515)",139,514,515
"(551, 745)",138,551,745
"(514, 566)",138,514,566
"(504, 840)",137,504,840
"(502, 551)",135,502,551
"(571, 1125)",122,571,1125
"(502, 566)",120,502,566
"(523, 566)",120,523,566
"(570, 809)",119,570,809
"(752, 809)",118,752,809
"(490, 523)",115,490,523
"(357, 571)",113,357,571
"(523, 564)",111,523,564
"(551, 749)",110,551,749
"(516, 553)",107,516,553
"(551, 777)",107,551,777
"(551, 679)",105,551,679
"(568, 745)",104,568,745
"(551, 564)",104,551,564
"(515, 749)",104,515,749
"(356, 571)",103,356,571
"(356, 357)",101,356,357
"(363, 511)",100,363,511
"(551, 571)",98,551,571
"(551, 809)",96,551,809
"(502, 514)",95,502,514
"(490, 514)",95,490,514
"(551, 794)",95,551,794
"(566, 764)",93,566,764
"(490, 564)",93,490,564
"(551, 764)",92,551,764
"(566, 570)",92,566,570
"(489, 552)",89,489,552
"(502, 515)",89,502,515
"(489, 564)",88,489,564
"(515, 552)",88,515,552
"(519, 551)",86,519,551
"(515, 764)",85,515,764
"(553, 568)",84,553,568
"(514, 523)",84,514,523
"(564, 566)",84,564,566
"(507, 551)",84,507,551
"(571, 765)",83,571,765
"(566, 809)",79,566,809
"(489, 514)",78,489,514
"(489, 679)",78,489,679
"(507, 809)",78,507,809
"(363, 562)",77,363,562
"(551, 1103)",76,551,1103
"(504, 551)",75,504,551
"(571, 912)",74,571,912
"(570, 1115)",73,570,1115
"(519, 523)",72,519,523
"(552, 564)",72,552,564
"(516, 551)",72,516,551
"(551, 752)",72,551,752
