course_id,recomm_one,recomm_two
356,571,357
357,571,356
358,570,752
359,570,358
360,745,516
361,551,1138
362,363,863
363,511,562
364,863,516
365,1116,745
366,551,523
367,551,515
368,572,569
489,551,515
490,566,551
502,551,566
503,551,513
504,572,569
507,570,752
508,570,752
509,745,568
511,363,562
513,503,551
514,551,566
515,551,523
516,745,553
517,551,750
518,551,490
519,551,523
523,551,515
551,566,515
552,551,523
553,745,516
562,363,511
563,562,363
564,523,551
566,551,490
568,745,553
569,572,840
570,752,551
571,1125,357
572,569,504
659,551,566
664,551,503
670,490,566
671,659,750
672,551,745
679,551,523
741,551,566
742,1141,503
743,490,757
744,566,551
745,553,516
749,551,515
750,551,566
752,570,809
753,750,551
755,570,752
756,566,551
757,566,490
764,566,551
765,571,1125
776,551,566
777,551,523
791,551,566
794,566,551
800,360,679
803,909,552
809,490,570
810,551,566
813,672,1141
814,564,551
829,551,566
830,1144,813
833,835,671
834,358,513
835,803,515
836,765,659
837,756,1125
840,569,572
862,564,830
863,908,1101
864,551,908
865,1139,365
866,749,1156
902,360,1138
907,1103,523
908,1100,809
909,523,566
911,553,564
912,571,1125
1099,568,745
1100,551,908
1101,1100,552
1102,1100,1103
1103,551,566
1104,752,809
1115,570,752
1116,564,809
1124,1128,764
1125,571,357
1128,1124,514
1129,1100,672
1138,361,672
1139,745,553
1140,503,664
1141,742,513
1144,571,1125
1145,840,569
1146,745,367
1147,745,553
1152,551,490
1156,1125,366
1160,911,1198
1161,840,569
1181,752,570
1182,1104,358
1184,752,570
1185,1140,503
1186,1125,571
1187,745,553
1188,1141,513
1198,1185,1115
1199,569,518
1200,1184,1124
1201,800,865
